name,city,district,subdistrict,address,lat,lon,phone,Sunday,Monday,Tuesday,Wednesady,Thursday,Friday,Saturday,notes,owner
נתיב הלה,נתיב הלה,ירושלים,ירושלים,ד.נ האלה,31.687184,34.982523,02-9900220,סגור,סגור,10:00-13:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
נתיב העשרה,נתיב העשרה,אשקלון,אשקלון,ד.נ חוף אשקלון,31.572407,34.539322,08-6891848,סגור,13:00-19:00,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
נתיבות ב',נתיבות,דרום,באר שבע,אלפסי,31.426292,34.599754,08-9932833,8:00-16:00,8:00-20:00,8:00-16:00,8:00-16:00,8:00-20:00,סגור,סגור,,משרד הבריאות
נתיבות ג',נתיבות,דרום,באר שבע,הרב צבאן,31.417546,34.581189,08-9931213,8:00-20:00,8:00-20:00,8:00-16:00,8:00-16:00,8:00-20:00,סגור,סגור,,משרד הבריאות
איכלוב,נתניה,מרכז,השרון,איכלוב 8,32.3391303,34.8580405,09-8610904,8:00-20:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-20:00,8:00-12:00,סגור,"בית ינאי, ויתקין ,מכמורת, גבעת שפירא, גבעת חן",משרד הבריאות
סלע,נתניה,מרכז,השרון,יוספטל 28,32.3268536,34.8666938,09-8824926,8:00-16:00,8:00-20:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
אזורים,נתניה,מרכז,השרון,קריניצי 2,32.2939748,34.8494091,09-8354334,8:00-16:00,8:00-20:00,8:00-20:00,8:00-16:00,8:00-20:00,8:00-12:00,סגור,,משרד הבריאות
נווה דוד,נתניה,מרכז,השרון,הרצוג14,32.3417817,34.8568509,09-844477,8:00-19:00,8:00-19:00,8:00-16:00,8:00-19:00,8:00-16:00,8:00-12:00,סגור,"אביחייל, צוקי ים, בית חרות, ביתן אהרון, גבעת חיים, חבצלת השרון",משרד הבריאות
קרית נורדאו,נתניה,מרכז,השרון,נתן  המשורר,32.280076,34.849128,09-8359939,8:00-20:00,8:00-16:00,8:00-16:00,8:00-20:00,8:00-17:00,8:00-12:00,סגור,,משרד הבריאות
ארוסים,נתניה,מרכז,השרון,רותם 129,32.2854724,34.8505761,09-8356928,8:00-20:00,8:00-16:00,8:00-16:00,8:00-19:00,8:00-16:00,8:00-12:00,סגור,"אבן יהודה, אודים, געש, בית יהושע, תל יצחק, רשפון, תל מונד, מ.א. לב השרון",משרד הבריאות
ותיקים,נתניה,מרכז,השרון,אונטרמן 7,32.3098742,34.879363,09-8873774,8:00-20:00,8:00-20:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-12:00,סגור,"בית יצחק, נורדיה, הדר עם, כפר ידידיה, מ.א. עמק חפר מרכז",משרד הבריאות
דגניה,נתניה,מרכז,השרון,דגניה 92,32.296044,34.8732676,09-8322714,8:00-20:00,8:00-17:00,8:00-20:00,8:00-16:00,8:00-17:00,8:00-12:00,סגור,,משרד הבריאות
הנביאים,נתניה,מרכז,השרון,ירמיהו,32.300454,34.855291,09-8648800,סגור,8:00-16:00,8:00-13:0016:00-19:00,8:00-14:30,8:00-16:00,סגור,סגור,,קופת חולים כללית
נאות גנים,נתניה,מרכז,השרון,זמבה  שיכון ותיקים,32.317675,34.88721,09-8616245,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
קרית השרון,נתניה,מרכז,השרון,טום לנטוס,32.303444,34.86961,"09-8821922 ,09-7497700",7:30-13:00  16:00-19:30,7:30-16:30,8:00-13:00,7:30-16:30,7:30-16:30,8:00-12:00,סגור,,קופת חולים כללית
סאסא,סאסא,צפון,צפת,ד.נ מרום הגליל,33.02866,35.394569,"04-6988521 ,04-6988521",סגור,סגור,10:00-13:30,סגור,סגור,סגור,סגור,,קופת חולים כללית
סג'ור,סג'ור,צפון,עכו,סג'ור,32.936913,35.355971,04-9583250,8:00-16:00,8:00-18:00,8:00-14:00,8:00-16:00,8:00-16:00,8:00-14:00,סגור,,משרד הבריאות
סולם,סולם,צפון,יזרעאל,סולם,32.608813,35.3318365,04-6420289,8:00-14:00,8:00-14:00,8:00-14:00,8:00-18:00,8:00-14:00,8:00-13:00,סגור,,משרד הבריאות
סחנין א,סח'נין,צפון,עכו,סחנין,32.862983,35.292776,04-6741103,8:00-16:00,8:00-16:00,8:00-16:00,8:00-18:00,8:00-16:00,סגור,סגור,,משרד הבריאות
סחנין ב',סח'נין,צפון,עכו,סחנין,32.862983,35.292776,04-6743551,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
סחנין ג',סח'נין,צפון,עכו,סחנין,32.862983,35.292776,04-6743028,8:00-16:00,8:00-16:00,8:00-16:00,8:00-18:00,8:00-16:00,8:00-13:00,סגור,,משרד הבריאות
סחנין ד',סח'נין,צפון,עכו,סחנין,32.862983,35.292776,04-6746151,8:00-16:00,8:00-18:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
ספיר,ספיר,דרום,באר שבע,ד.נ הערבה,30.613623,35.184144,"08-6592223 ,08-6592234",סגור,סגור,8:30-11:30,סגור,סגור,סגור,סגור,,קופת חולים כללית
עבדון,עבדון,צפון,עכו,ד.נ גליל מערבי,33.048792,35.179128,"04-9807720 ,04-9807720",7:00-16:00,7:00-18:00,7:00-16:00,7:00-15:00,7:00-14:00  15:30-19:00,7:00-11:00,סגור,,קופת חולים כללית
עבלין א,עבלין,צפון,עכו,עבלין,32.822533,35.192265,04-9866024,8:00-18:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
עבלין ב',עבלין,צפון,עכו,עבלין,32.822533,35.192265,04-9502339,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
עברון,עברון,צפון,עכו,ד.נ אושרת,32.991149,35.100031,04-9857888,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עוזיר,עוזייר,צפון,יזרעאל,עוזיר,32.807105,35.26571,04-6517587,8:00-14:00,8:00-14:00,סגור,8:00-20:00,8:00-14:00,8:00-13:00,סגור,,משרד הבריאות
עומר,עומר,דרום,באר שבע,רותם 10,31.2657015,34.8490799,08-6253225,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עיר הכרמל - עוספיה א',עוספיה,חיפה,חיפה,,32.720737,35.059087,04-8391813,8:00-14:00,8:00-14:00,8:00-14:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
עיר הכרמל - עוספיה ב',עוספיה,חיפה,חיפה,,32.720737,35.059087,04-8390069,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,8:00-12:30,סגור,,משרד הבריאות
עידן,עידן,דרום,באר שבע,ד.נ הערבה,30.806291,35.299946,08-6581033,סגור,9:00-13:00,סגור,סגור,9:00-12:00,סגור,סגור,,קופת חולים כללית
עילבון,עיילבון,צפון,כנרת,עילבון,32.838541,35.398486,04-6784544,7:30-14:30,8:00-17:00,8:00-17:00,8:00-15:00,7:30-14:30,7:30-13:00,סגור,,משרד הבריאות
עילוט,עילוט,צפון,נצרת,עילוט,32.717382,35.271342,04-6461702,8:00-14:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-20:00,סגור,סגור,,משרד הבריאות
עין אברהים,עין אברהים,חיפה,חדרה,עין אברהים,32.535879,35.145327,04-6114183,8:00-13:30,8:00-13:30,8:00-13:30,8:00-13:30,8:00-13:30,סגור,סגור,,משרד הבריאות
עין אל אסד,עין אל אסד,צפון,צפת,עין אל אסד,32.938908,35.39906,04-6980392,סגור,8:00-14:00,סגור,סגור,סגור,סגור,סגור,,משרד הבריאות
עין גב,עין גב,צפון,כנרת,"עין גב,ד.נ עמק הירדן 14940",32.783393,35.640119,04-6658105,סגור,סגור,10:00-12:00,10:00-12:00,סגור,סגור,סגור,,קופת חולים כללית
עין גדי,עין גדי,דרום,באר שבע,ד.נ ים המלח,31.451191,35.383571,02-6594743,בתאום מראש,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין דור,עין דור,צפון,יזרעאל,ד.נ גליל תחתון,32.655468,35.416388,04-6770409,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין הבשור,עין הבשור,דרום,באר שבע,מושב עין הבשור,31.280895,34.443446,08-9982228,סגור,8:00-13:00,סגור,סגור,סגור,סגור,סגור,,מכבי שרותי בריאות
עין החורש,עין החורש,מרכז,השרון,ד.נ עמק חפר,32.385871,34.939994,"04-6127316 ,04-6127316",סגור,13:00-13:00,8:00-10:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין המפרץ,עין המפרץ,צפון,עכו,ד.נ אושרת,32.902581,35.09304,"04-9852222 ,04-9852222",סגור,8:00-16:00,סגור,8:00-13:00,סגור,סגור,סגור,,קופת חולים כללית
עין הנציב,עין הנציב,צפון,יזרעאל,ד.נ בית שאן,32.47071,35.501973,04-6062907,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין השופט,עין השופט,צפון,יזרעאל,עין השופט,32.597439,35.100205,"04-9895229 ,04-9895229",7:30-13:00,סגור,15:00-18:00,סגור,סגור,9:30-11:00,סגור,,קופת חולים כללית
עין השלושה,עין השלושה,דרום,באר שבע,ד.נ הנגב,31.351722,34.403471,08-9985704,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין חרוד איחוד,עין חרוד איחוד,צפון,יזרעאל,דואר עין חרוד,32.563099,35.391666,04-6486716,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין חרוד מאוחד,עין חרוד מאוחד,צפון,יזרעאל,דואר עין חרוד,32.556806,35.392995,04-6485310,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין יהב,עין יהב,דרום,באר שבע,ד.נ הערבה,30.658757,35.239656,08-6581073,סגור,סגור,10:00-12:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
עין יעקב,עין יעקב,צפון,עכו,ד.נ מעלה יוסף,33.009312,35.229024,"04-9976486 ,04-9976486",סגור,יחוסנו במלות מרכז,סגור,8:00-10:00,סגור,סגור,סגור,,קופת חולים כללית
עין מאהל א',עין מאהל,צפון,נצרת,עין מאהל,32.723224,35.352582,04-6470884,סגור,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,סגור,,משרד הבריאות
עין מאהל ב',עין מאהל,צפון,נצרת,עין מאהל,32.723224,35.352582,04-6455537,8:00-14:00,8:00-12:00,8:00-14:00,8:00-14:00,8:00-14:00,סגור,סגור,,משרד הבריאות
עין נקובא,עין נקובא,ירושלים,ירושלים,ככר המסגד,31.79391,35.119683,02-5332435,סגור,8:00-14:30,סגור,8:00-16:00,סגור,סגור,סגור,,משרד הבריאות
עין קניא,עין קניא,צפון,צפת,עין קניא,33.2370087,35.7304612,04-6984253,סגור,סגור,8:00-14:00,סגור,8:00-15:00,סגור,סגור,,משרד הבריאות
עין שמר,עין שמר,חיפה,חדרה,ד.נ מנשה,32.461917,35.00673,04-6374161,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עינת,עינת,מרכז,פתח תקווה,קיבוץ עינת,32.081948,34.937514,03-9385175,סגור,16:00-18:00,סגור,סגור,9:00-11:00,סגור,סגור,,קופת חולים כללית
עכו לאומית,עכו,צפון,עכו,לוחמי הגיטאות 23,32.9283353,35.0728726,04-9559405,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-18:00,סגור,סגור,,משרד הבריאות
עכו,עכו,צפון,עכו,בן עמי 39 עכו,32.9262348,35.0759204,04-9017106,8:30-16:00,8:30-16:00,11:00-19:00,סגור,8:30-15:30,סגור,סגור,,קופת חולים מאוחדת
הארבעה,עכו,צפון,עכו,דרך הארבעה 41,32.9281023,35.0796853,04-9851158,8:00-11:3016:00-18:30,8:00-13:0017:00-18:30,8:00-12:30,12:30-18:30,8:00-11:30,סגור,סגור,,מכבי שרותי בריאות
עכו חומש,עכו,צפון,עכו,שלמה בן יוסף 8,32.9269764,35.0700221,04-9911745,10:00-16:00,7:30-14:00,7:30-18:00,8:00-14:00,7:30-14:00,סגור,סגור,,קופת חולים כללית
עכו עמידר,עכו,צפון,עכו,בורלה,32.933052,35.082678,04-9810089,11:30-19:00,7:30-15:00,7:30-15:00,8:00-12:30,7:30-15:00,סגור,סגור,,קופת חולים כללית
עכו צפון,עכו,צפון,עכו,ינוש קורצק 14,32.9298936,35.0784735,04-9817941,10:00-16:00,9:00-18:00,9:00-14:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
עכו קוטב,עכו,צפון,עכו,שפירא 24,32.9372266,35.0776763,04-9813650,8:00-15:30,10:30-18:00,8:00-15:30,8:00-13:00,8:00-15:30,סגור,סגור,,קופת חולים כללית
עלומים,עלומים,דרום,באר שבע,ד.נ הנגב,31.453049,34.514711,08-9937280,10:00-12:00,סגור,10:00-12:00,10:00-12:00,10:00-12:00,סגור,סגור,,קופת חולים כללית
האורן,עלי,ירושלים,ירושלים,האורן 10 ב',32.071177,35.266859,02-9947313,8:00-12:00,8:00-12:00,סגור,8:00-12:00  16:00-19:00,8:00-13:00,סגור,סגור,,מכבי שרותי בריאות
עלי,עלי,מרכז,רמלה,ד.נ אפרים,32.071177,35.266859,02-9947070,7:30-13:3016:30-20:00,8:00-16:00,11:00-15:00,8:00-9:30,פעמיים בחודש 7:30 -14:00 פעמיים בחודש  12:00-14:00,8:00-12:00 פעמיים בחודש,סגור,,קופת חולים כללית
עמינדב,עמינדב,ירושלים,ירושלים,ד.נ. הרי יהודה 90885,31.751705,35.142428,02-6438275,סגור,סגור,14:00-18:00,8:00-16:00,סגור,סגור,סגור,,קופת חולים כללית
עמיעד,עמיעד,צפון,צפת,ד.נ גליל עליון,32.930354,35.540521,04-6909566,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
עמיר,עמיר,צפון,צפת,ד.נ גליל עליון,33.178725,35.622082,"04-6954242 ,04-6954101",סגור,סגור,סגור,12:00-16:00,סגור,סגור,סגור,,קופת חולים כללית
עמנואל,עמנואל,מרכז,פתח תקווה,"כיכר הרמב""ם",32.160994,35.135913,"09-7921535 ,09-7921535",9:30-13:0016:00-18:00,8:00-13:00,9:30-13:0015:00-17:00,8:00-16:00,9:30-13:00,8:00-12:00,סגור,,קופת חולים כללית
עפולה ב',עפולה,צפון,יזרעאל,רח' וולפסון עפולה,32.610493,35.287922,"04-6527615, 04-6594930",8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-13:00,סגור,,משרד הבריאות
דרוקר,עפולה,צפון,יזרעאל,גבעת המורה שכ' דרוקר,32.62071,35.324461,04-6596887,8:00-14:00,8:00-14:00,8:00-20:00,8:00-14:00,8:00-14:00,8:00-13:00,סגור,,משרד הבריאות
עפרה,עפרה,מרכז,רמלה,"ט' באייר, עפרה",31.954771,35.261495,"02-9706888 ,02-9706888",8:00-13:00,11:00-18:30,סגור,סגור,8:00-13:00,8:00-12:00 אחת לחודש,סגור,,קופת חולים כללית
עראבה א',עראבה,צפון,עכו,עראבה,32.85421,35.33339,04-6741929,8:00-16:00,8:00-18:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
עראבה ב',עראבה,צפון,עכו,עראבה,32.85421,35.33339,04-6743441,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,,משרד הבריאות
עראבה ג',עראבה,צפון,עכו,עראבה,32.85421,35.33339,04-6744184,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-13:00,סגור,,משרד הבריאות
עראבה ד',עראבה,צפון,עכו,עראבה,32.85421,35.33339,04-6742650,8:00-16:00,8:00-16:00,8:00-18:00,8:00-16:00,8:00-16:00,8:00-13:00,סגור,,משרד הבריאות
עראמשה,עראמשה,צפון,עכו,עראמשה,33.083193,35.224084,,8:00-14:00,8:00-14:00,8:00-14:00,8:00-16:00,סגור,סגור,סגור,,משרד הבריאות
ערב אל נעים,ערב אל נעים,צפון,עכו,ערב אל נעים,32.888073,35.290128,050-6622403,8:00-16:00,8:00-16:00,סגור,סגור,סגור,סגור,סגור,,משרד הבריאות
ערד א',ערד,דרום,באר שבע,חן 21,31.2581961,35.2120719,08-9957029,8:00-20:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
ערד ב',ערד,דרום,באר שבע,הקנאים 43,31.2587815,35.2056555,08-9950989,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
ערוגות,ערוגות,אשקלון,אשקלון,ד.נ שקמים,31.732798,34.77624,"08-8581904 ,08-8580743",12:00-19:00,סגור,7:00-14:00,7:00-14:00,סגור,סגור,סגור,,קופת חולים כללית
ערערה א,ערערה,חיפה,חדרה,ערערה,32.49663,35.098052,04-6351106,8:00-13:30,8:00-13:30,8:00-13:30,8:00-13:30,8:00-20:00,סגור,סגור,,משרד הבריאות
עשרת,עשרת,מרכז,רחובות,,31.824913,34.747459,"08-8591766 ,08- 8591766",8:00-14:00,7:30-15:00,12:00-19:00,8:00-12:00,סגור,סגור,סגור,,קופת חולים כללית
עתלית,עתלית,חיפה,חדרה,חרוב 62,32.68836,34.941099,"04-9037300 ,04-9037300",8:00-16:00,7:30-16:00,15:00-19:00,7:30-14:00,12:00-19:00,8:00-14:30,סגור,,קופת חולים כללית
עתניאל,עתניאל,דרום,באר שבע,ד.נ הר חברון,31.438812,35.028163,,סגור,9:30-10:30,סגור,9:30-10:30,9:30-10:30,סגור,סגור,,קופת חולים לאומית
פארן,פארן,דרום,באר שבע,ד.נ הערבה,30.362646,35.155149,08-6581075,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
פדואל,פדואל,ירושלים,ירושלים,"פדואל, ד.נ מודיעין",32.062479,35.052619,,15:30-19:30,10:30-12:30,סגור,סגור,סגור,סגור,סגור,,קופת חולים לאומית
נווה עובד,פורייה - נווה עובד,צפון,כנרת,נווה עובד,32.747114,35.537757,04-6752043,סגור,8:00-14:00,סגור,8:00-18:00,סגור,סגור,סגור,,משרד הבריאות
פסגות,פסגות,מרכז,רמלה,ד.נ מזרח בנימין,31.899984,35.223923,"02-9973205 ,02-9973025",12:00-13:00,סגור,סגור,סגור,8:00-13:00,סגור,סגור,,קופת חולים כללית
פסוטה,פסוטה,צפון,עכו,פסוטה,33.049562,35.307991,04-9870530,11:00-16:00,8:00-16:00,11:00-16:00,8:00-18:00,8:00-14:00,סגור,סגור,,משרד הבריאות
הדר,פרדס חנה-כרכור,חיפה,חדרה,שכ' גאולה,32.475398,34.954992,04-6378940,8:00-15:30,8:00-15:30,8:00-15:30,8:00-15:30,8:00-15:30,סגור,סגור,,משרד הבריאות
כרכור,פרדס חנה-כרכור,חיפה,חדרה,המייסדים כרכור,32.477678,34.990917,077-9400704,8:00-20:00,8:00-15:30,8:00-15:30,8:00-15:30,8:00-15:30,סגור,סגור,"כפר פינס, עין עירון, גן השומרון",משרד הבריאות
מושבה,פרדס חנה-כרכור,חיפה,חדרה,35'רחוב המעלה,32.473272,34.972198,077-3378842,8:00-15:30,8:00-15:30,8:00-20:00,8:00-15:30,8:00-15:30,סגור,סגור,"חריש, קציר, תלמי אלעזר,",משרד הבריאות
נוה מרחב,פרדס חנה-כרכור,חיפה,חדרה,רחוב עציון פינת דביר,32.46995,34.962239,077-7292652,8:00-15:30,8:00-15:30,8:00-15:30,8:00-20:00,8:00-15:30,סגור,סגור,,משרד הבריאות
פרדסיה,פרדסיה,מרכז,השרון,שבזי1,32.3028787,34.9107672,09-8945102,8:00-20:00,8:00-15:00,8:00-15:00,8:00-15:00,8:00-15:00,סגור,סגור,"צורן, אליכין, חוגלה, בני ציון, כפר הרוא""ה, גאולי תימן",משרד הבריאות
נוה עוז,פתח תקווה,מרכז,פתח תקווה,אלכסנדר זייד 34,32.0773276,34.8640224,03-5254100,7:30-20:00,7:30-20:00,7:30-15:30,7:30-15:30,7:30-15:30,8:00-13:00,סגור,,משרד הבריאות
אם המושבות,פתח תקווה,מרכז,פתח תקווה,נס ציונה 5,32.1025886,34.8732684,03-9241885,8:00-20:00,8:00-20:00,8:00-20:00,7:30-20:00,8:00-20:00,סגור,סגור,,משרד הבריאות
הדר גנים,פתח תקווה,מרכז,פתח תקווה,מנחם בגין 50,32.0732075,34.9068678,03-9323857,7:30-20:00,7:30-20:00,7:30-20:00,7:30-20:00,7:30-20:00,8:00-13:00,סגור,,משרד הבריאות
"כ""ט בנובמבר",פתח תקווה,מרכז,פתח תקווה,"כ""ט בנובמבר 1",32.0942825,34.8953218,03-9342888,7:30-15:30,7:30-20:00,7:30-20:00,7:30-20:00,7:30-20:00,8:00-13:00,סגור,,משרד הבריאות
אחד העם,פתח תקווה,מרכז,פתח תקווה,אחד העם 33,32.0842581,34.8877808,03-9315212,7:30-20:00,7:30-20:00,7:30-13:00,7:30-20:00,7:30-15:30,7:30-13:00,סגור,,משרד הבריאות
בייליס,פתח תקווה,מרכז,פתח תקווה,בייליס 14,32.0945052,34.8814461,03-9309614,7:30-20:00,8:00-16:00,8:00-16:00,7:30-13:30,7:30-15:30,8:00-20:00,סגור,,משרד הבריאות
היבנר,פתח תקווה,מרכז,פתח תקווה,היבנר 3,32.0802359,34.8785906,03-9213958,7:30-20:00,8:00-20:00,7:30-20:00,7:30-15:30,7:30-20:00,8:00-13:00,סגור,,משרד הבריאות
יוספטל,פתח תקווה,מרכז,פתח תקווה,קהילת פרג 5,32.092367,34.9056084,03-9306962,7:30-15:30,8:00-20:00,8:00-16:00,7:30-15:30,7:30-16:00,8:00-13:00,סגור,,משרד הבריאות
קריית הרב סלומון,פתח תקווה,מרכז,פתח תקווה,אונטרמן 4,32.0996197,34.899113,03-9300542,7:30-15:30,7:30-20:00,7:30-15:30,7:30-20:00,7:30-15:30,סגור,סגור,,משרד הבריאות
שיכון עובדי בילינסון,פתח תקווה,מרכז,פתח תקווה,פרופ' טור 5,32.0863012,34.8697079,03-9219847,7:30-20:00,7:30-16:00,7:30-20:00,7:30-20:00,7:30-20:00,8:00-13:00,סגור,,משרד הבריאות
,פתח תקווה,מרכז,פתח תקווה,החמישה 2,32.0720649,34.8934239,03-9321292,7:30-20:00,7:30-20:00,7:30-15:30,7:30-15:30,7:30-20:00,08:00-13:00,סגור,,משרד הבריאות
,צאלים,דרום,באר שבע,ד.נ חלוצה,31.203909,34.533359,08-9989252,סגור,סגור,9:00-12:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
,צובה,ירושלים,ירושלים,ד.נ ערי יהודה,31.784352,35.117952,"02-5347701 ,02-5347701",סגור,סגור,סגור,סגור,14:00-17:00,סגור,סגור,,קופת חולים כללית
,צוחר,דרום,באר שבע,ד.נ הנגב,31.23717,34.426444,08-9118222,10-13/16-19,8-15,10-13/16-19,סגור,10-13:30,סגור,סגור,,קופת חולים כללית
,צופר,דרום,באר שבע,ד.נ הערבה,30.559394,35.181474,08-6582030,סגור,סגור,סגור,8:00-10:00,סגור,סגור,סגור,,קופת חולים כללית
,צור יגאל,מרכז,פתח תקווה,"שד' הדקלים, צור יגאל",32.209761,34.987756,"09-7499800 ,09-7499800",16:00-19:00,9:30-12:3016:00-19:00,9:30-12:30,9:30-12:30,9:30-12:3016:30-19:00,8:00-12:00,סגור,,קופת חולים כללית
,צור יצחק,מרכז,פתח תקווה,,32.241478,34.997998,09-8930800,7:30-13:30,7:30-13:00,16:00-19:00,סגור,7:30-13:00,סגור,סגור,,קופת חולים כללית
,צוריאל,צפון,עכו,ד.נ.מעלה הגליל,33.006488,35.31479,"04-9971557 ,04-9971557",סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
,צורן,מרכז,השרון,דרך לב השרון,32.287673,34.945224,"09-8947205 ,09-8947205",7:30-13:00 17:30-19:00,8:00-11:3016:00-19:00,17:30-19:00,8:00-13:00,7:30-11:3016:00-19:00,סגור,סגור,,קופת חולים כללית
,ציפורי,צפון,יזרעאל,ד.נ גליל תחתון,32.746748,35.276351,04-6464460,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
,צפת,צפון,צפת,רח' אנילביץ',32.964648,35.495997,04-6970140,סגור,8:00-15:00,סגור,8:00-20:00,8:00-18:00,סגור,סגור,,משרד הבריאות
,צפת,צפון,צפת,מרכז קליטה סביוני כנען,32.964648,35.495997,04-6921476,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,משרד הבריאות
,צפת,צפון,צפת,"צה""ל 12 
מרכז קליטה צה""ל 9",32.964648,35.495997,04-6974292,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,משרד הבריאות
,צפת,צפון,צפת,"רח' צה""ל 7",32.964648,35.495997,04-6973420,8:00-14:00,8:00-20:00,8:00-14:00,סגור,8:00-14:00,סגור,סגור,,משרד הבריאות
,צפת,צפון,צפת,שכונת כנען,32.97128,35.506822,04-6920984,8:00-20:00,8:00-16:00,8:00-20:00,8:00-16:00,8:00-16:00,8:00-13:00,סגור,,משרד הבריאות
,צפת,צפון,צפת,שכונת מנחם בגין,32.97128,35.506822,04-6923769,8:00-16:00,8:00-15:00,8:00-20:00,סגור,8:00-18:00,סגור,סגור,,משרד הבריאות
,צפת,צפון,צפת,רח' הרצל,32.964648,35.495997,04-6921081,8:00-19:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-18:00,סגור,סגור,,משרד הבריאות
,צרופה,חיפה,חדרה,ד.נ.חוף הכרמל,32.647822,34.946455,"04-9840667 ,04-9840667",7:30-15:00,8:00-11:00,7:30-15:30,7:30-14:30,סגור,סגור,סגור,,קופת חולים כללית
,צרעה,ירושלים,ירושלים,ד.נ שמשון,31.762653,34.966931,"02-9908520 ,02-9908520",סגור,8:00-11:00,סגור,8:00-16:00,סגור,סגור,סגור,,קופת חולים כללית
,קבוצת יבנה,מרכז,רחובות,קבוצת יבנה,31.8155449,34.7218882,08-8548300,סגור,סגור,9:00-13:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
,קדומים,ירושלים,ירושלים,"קדומים, רח יהלום 3",32.21239,35.157388,,סגור,8:00-16:00,11:00-13:00,11:00-17:00,סגור,סגור,סגור,,קופת חולים לאומית
,קדומים,מרכז,פתח תקווה,ד.נ שומרון,32.21239,35.157388,"09-7921311 ,09-7921311",סגור,8:00-15:00,סגור,8:00-15:00,7:30-15:00,סגור,סגור,,קופת חולים כללית
,קדימה,מרכז,השרון,בן צבי,32.277811,34.911157,"09-8315500 ,09/8315500",8:00-12:00,8:00-11:30,סגור,8:00-12:30,8:00-15:00,סגור,סגור,,קופת חולים כללית
,קדמת צבי,צפון,צפת,קדמת צבי,33.028822,35.697686,"04-6963258 ,04-6963258",סגור,סגור,12:00-15:30,סגור,סגור,סגור,סגור,,קופת חולים כללית
,קדרים,צפון,צפת,ד.נ מרום הגליל,32.898886,35.471565,"04-6986225 ,04-6986225",סגור,סגור,סגור,8:00-9:00,סגור,סגור,סגור,,קופת חולים כללית
,קוממיות,אשקלון,אשקלון,ד.ה שדה גת,31.662583,34.7293,08-6814406,סגור,סגור,8:00-12:30,סגור,סגור,סגור,סגור,,קופת חולים כללית
,סעד,דרום,באר שבע,קיבוץ סעד,31.47375,34.533243,08-6800412,9:00-14:00  16:00-18:00,9:00-14:00  16:00-18:00,9:00-10:00,8:00-15:00,7:30-9:00,7:30-9:00,סגור,,מכבי שרותי בריאות
